hostname,interface,address,prefix_length,cidr,network
csr01,GigabitEthernet2,10.20.0.100,24,10.20.0.100/24,10.20.0.0/24
csr02,GigabitEthernet2,10.20.0.101,24,10.20.0.101/24,10.20.0.0/24
